actor/backtrack_steps,actor/kl,actor/loss,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
1.0,0.0062457444,-0.047298685,80.0,2.6498253,64.68405,2.8978064,0.045657646,-2.9439654,5000,0.73578143,1000,1000.0,1000,5,0.0,680.5234872205183,663.1900457704439,640.8915775902569,5,13.132145996757691,3.130947,0.057373412,-3.1480541,20000,0.7401761,1000,1000.0,1000,20,0.0,711.4400761956349,657.559786701019,591.2705442202277,20,34.11821618408304,249.0,67.75384759902954,20000.0,11.0,752.6436169147491,220000.0,295.1861880724611,220000.0
1.0,0.0067318864,-0.04726703,80.0,2.604052,65.92004,3.2216146,0.036366493,-3.5920875,5000,0.74712825,1000,1000.0,1000,5,0.0,715.7947784010321,670.367273188103,621.6053595021367,5,30.808489070554803,3.4440334,0.027781622,-3.1089299,20000,0.7381511,1000,1000.0,1000,20,0.0,710.5227235630155,664.1560676772264,597.8064753264189,20,30.240642339000942,269.0,68.81442952156067,20000.0,12.0,821.5085356235504,240000.0,290.6367187674451,240000.0
1.0,0.0069464883,-0.04024198,80.0,2.9467642,68.06919,2.9333453,-0.036056504,-3.3760498,5000,0.73641926,1000,1000.0,1000,5,0.0,712.4113549579633,689.7066172668477,631.9792713914067,5,29.953699630074652,3.6557574,0.036302198,-3.6063979,20000,0.7470096,1000,1000.0,1000,20,0.0,745.7697306424379,683.3479188551385,560.6409609634429,20,42.83284835576498,289.0,67.33358788490295,20000.0,13.0,888.8907594680786,260000.0,297.02858006300085,260000.0
1.0,0.007052506,-0.04322303,80.0,2.0483928,67.95041,3.1587756,0.13712843,-2.738577,5000,0.74214566,1000,1000.0,1000,5,0.0,725.1285868361592,639.7797160482966,593.3791255089454,5,45.463846681075836,3.2263355,0.042807687,-3.0015721,20000,0.7377947,1000,1000.0,1000,20,0.0,787.4614638909698,690.7561089066323,589.3589689182118,20,48.58611830552776,309.0,67.56845498085022,20000.0,14.0,956.5094616413116,280000.0,295.9961124709491,280000.0
1.0,0.0069261193,-0.039682083,80.0,2.0498524,69.661964,2.8682437,0.03349715,-3.155672,5000,0.7304882,1000,1000.0,1000,5,0.0,757.1908140406013,739.0276425659656,697.9572636336088,5,22.837869436260846,3.2500896,0.028031997,-3.303473,20000,0.7380108,1000,1000.0,1000,20,0.0,771.934029430151,709.3793396128283,595.7549644038081,20,48.67648410905305,329.0,68.2086455821991,20000.0,15.0,1024.7678353786469,300000.0,293.2179612905192,300000.0
1.0,0.0068859034,-0.041378338,80.0,1.5667392,69.89636,3.245346,0.083679266,-3.0175781,5000,0.731396,1000,1000.0,1000,5,0.0,821.2145197838545,712.1795353651047,589.5487237870693,5,75.99587114127566,3.3759177,0.06293039,-3.6159177,20000,0.73455,1000,1000.0,1000,20,0.0,808.1391523778439,720.1092486586407,585.0839324966073,20,64.26944143571441,349.0,68.54037547111511,20000.0,16.0,1093.3585958480835,320000.0,291.7988100083954,320000.0
1.0,0.0070569166,-0.040385246,80.0,1.7919319,73.82991,3.5190334,0.039549846,-2.811671,5000,0.72767836,1000,1000.0,1000,5,0.0,737.410043656826,728.9553434880451,714.3205520436168,5,8.500037369881152,3.0058556,0.05069764,-3.2446423,20000,0.7294971,1000,1000.0,1000,20,0.0,829.5178627967834,740.1318587173009,630.5435868352652,20,45.59444757920882,369.0,67.48321652412415,20000.0,17.0,1160.909884929657,340000.0,296.3699869411282,340000.0
1.0,0.0070883515,-0.041083947,80.0,1.4421198,74.37439,2.802795,0.04342134,-2.9023242,5000,0.7203899,1000,1000.0,1000,5,0.0,776.6556343436241,729.9715699654073,688.6907658409327,5,30.945444112147225,3.30575,0.040170364,-3.164036,20000,0.7236049,1000,1000.0,1000,20,0.0,858.7549579730257,765.4347854984692,680.0154917240143,20,50.02397030310523,389.0,66.3762936592102,20000.0,18.0,1227.3353283405304,360000.0,301.3123947939032,360000.0
1.0,0.007357231,-0.044709347,80.0,1.5964717,77.29404,3.4918785,0.07609364,-3.1112628,5000,0.7072715,1000,1000.0,1000,5,0.0,815.421001136303,737.3068626999855,693.7024803385139,5,41.65674951925234,3.079083,0.037409835,-3.045456,20000,0.7113844,1000,1000.0,1000,20,0.0,856.9263201057911,776.3889762452338,724.3769768755883,20,31.760431816173778,409.0,67.58286261558533,20000.0,19.0,1294.9679305553436,380000.0,295.9330106178099,380000.0
1.0,0.007260444,-0.043752115,80.0,1.622999,77.51579,2.746349,-0.01586703,-3.0556958,5000,0.71314865,1000,1000.0,1000,5,0.0,845.384692568332,814.0191253177821,771.4275714829564,5,32.62257337888364,3.3276243,0.0133459065,-3.3856025,20000,0.71396625,1000,1000.0,1000,20,0.0,850.6509045087732,761.336367121106,696.0057198405266,20,44.51547894447847,429.0,67.27870512008667,20000.0,20.0,1362.2965168952942,400000.0,297.27088183849156,400000.0
