actor/entropy,actor/kl,actor/loss,actor/std,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
8.409778,1.5064142e-08,-0.04856621,0.6923146,1.8180704,52.85027,2.9966893,0.09498172,-2.747909,4701,0.71861935,1000,940.2,701,5,119.6,600.5128850005567,498.5660881055519,393.9188520703465,5,66.31238814332835,2.9685793,0.1028969,-3.3041325,20000,0.71820784,1000,913.4545454545455,162,22,230.7262697879198,603.5554151730612,493.8447577670661,82.24011819064617,22,128.1097444645571,287.0,62.571022748947144,20000.0,11.0,683.0896458625793,220000.0,319.63677627974414,220000.0
8.407423,-2.903398e-08,0.01046135,0.6921109,2.2358942,54.100475,3.0831919,0.10761566,-2.6948626,4554,0.72269726,1000,910.8,554,5,178.4,568.4894628487527,492.95647335229444,301.6028440967202,5,97.33517299540527,3.4624624,0.091635935,-3.1143186,20000,0.72018814,1000,863.9130434782609,205,23,248.96479811297195,640.2760907039046,481.93209441719165,107.25144872814417,23,145.16613184921343,310.0,62.128040075302124,20000.0,12.0,745.2665963172913,240000.0,321.91583664572477,240000.0
8.406233,1.2875534e-08,-0.006880318,0.6920081,2.0100992,53.531788,3.1033711,0.0960145,-3.096909,5000,0.71935034,1000,1000.0,1000,5,0.0,595.1971321851015,561.3488412268459,514.7372695505619,5,30.927739028152853,3.3955579,0.10123019,-2.9944746,20000,0.72014856,1000,928.1428571428571,264,21,187.0075846983054,652.5972727593035,516.473410188571,173.94624191895127,21,100.81695444492611,331.0,63.21503973007202,20000.0,13.0,808.5307428836823,260000.0,316.3804070265545,260000.0
8.404861,2.2049061e-08,-0.048910648,0.6918896,2.0070884,54.7052,2.986436,0.094405636,-2.610467,3906,0.7214278,1000,781.2,167,5,323.30876882633424,629.2850118726492,421.7715918487869,74.0460124462843,5,186.7939266065212,3.3331296,0.10437091,-2.8782322,20000,0.72227067,1000,901.5,161,22,249.77730990915597,635.2888473682106,502.8118863214675,82.92791553586721,22,154.04383905067982,353.0,60.989707231521606,20000.0,14.0,869.5693371295929,280000.0,327.92418438866196,280000.0
8.402544,-2.9406511e-08,-0.039581895,0.6916896,1.985601,56.38867,2.885307,0.09249914,-3.0119824,5000,0.7205205,1000,1000.0,1000,5,0.0,624.3807274224237,587.4428631792777,560.6669145561755,5,23.43013732170935,3.2479458,0.09532665,-2.998022,20000,0.7249816,1000,940.2727272727273,529,22,137.80525844900964,674.9300439357758,541.9220818991307,277.35079894959927,22,98.9197117368153,375.0,63.38497257232666,20000.0,15.0,933.0073115825653,300000.0,315.53220248188336,300000.0
8.399874,1.0873191e-08,-0.044594236,0.69145936,2.6286883,54.65303,3.5708346,0.102086954,-2.7754686,4179,0.7212185,1000,835.8,179,5,328.40000000000003,664.0920147188008,501.08382073831746,93.80343770235777,5,206.74315926344696,3.165553,0.090827,-3.3146663,20000,0.72499347,1000,767.96,128,25,343.7547358219229,693.2397450618446,448.9171283223864,63.19757297914475,25,212.524131587862,400.0,60.8810498714447,20000.0,16.0,993.9366788864136,320000.0,328.5094465721539,320000.0
8.396551,7.916242e-09,-0.02953747,0.6911728,1.8982255,58.554497,3.1653342,0.09023695,-2.8676314,5000,0.7300348,1000,1000.0,1000,5,0.0,626.2181776091456,567.8577205640729,542.6933100465685,5,29.716700382510417,3.29761,0.10375084,-2.9211328,20000,0.7262588,1000,993.047619047619,854,21,31.09199282999708,643.2636637883261,583.1688358138725,488.67660381272435,21,39.702371178733216,421.0,63.44565391540527,20000.0,17.0,1057.4331228733063,340000.0,315.230417936378,340000.0
8.393658,-5.7625584e-09,-0.013537547,0.69092345,1.5315796,59.303455,2.9548206,0.097154185,-2.7750993,5000,0.73223525,1000,1000.0,1000,5,0.0,644.9963264353573,606.3580738484859,567.1361499093473,5,33.381146775701104,3.2530243,0.094635054,-3.2646565,20000,0.7295813,1000,962.75,255,20,162.36898564689008,657.328964965418,574.9738560587168,143.10168291069567,20,105.24495122441235,441.0,63.40830397605896,20000.0,18.0,1120.8917531967163,360000.0,315.4161008241348,360000.0
8.391169,5.4226255e-08,-0.042281784,0.69070894,1.7796555,57.88715,3.1975946,0.09155232,-2.6858118,4416,0.7278947,1000,883.2,416,5,233.6,650.749700159533,541.8662119374145,197.75266963010654,5,172.76265510833844,3.448225,0.09525765,-3.582516,20000,0.7279657,1000,924.8636363636364,297,22,197.5130134848531,656.5743679329753,531.7059839539032,132.98034757075948,22,123.79158425488644,463.0,63.65330386161804,20000.0,19.0,1184.5978548526764,380000.0,314.2020725818081,380000.0
8.388639,-2.514571e-09,-0.021314163,0.6904914,2.1322546,58.79872,3.2743716,0.086450465,-2.6869884,5000,0.7326454,1000,1000.0,1000,5,0.0,664.169189076405,629.762964853202,584.199293486774,5,27.239018027561197,3.1559556,0.09750798,-3.1040208,20000,0.73612094,1000,963.5714285714286,235,21,162.91352407498465,660.5382393728942,577.8082290668639,103.89430629904382,21,109.69799586846935,484.0,64.38927960395813,20000.0,20.0,1249.0468263626099,400000.0,310.6107122647566,400000.0
